Região,Mês,Alimentação,Habitação,Residência,Vestuário,Transportes,Saúde,Despesas Pessoais,Educação,Comunicação,Alimentação (Peso),Habitação (Peso),Residência (Peso),Vestuário (Peso),Transportes (Peso),Saúde (Peso),Despesas Pessoais (Peso),Educação (Peso),Comunicação (Peso)
São Paulo (SP),março 2013,"0,85","0,41","-0,7","0,19","0,34","0,45","0,89","0,47","0,02","23,0384","13,8271","4,037","5,8943","21,0555","11,4902","10,9278","5,0199","4,7097"
São Paulo (SP),abril 2013,"0,85","0,29","0,93","0,63","0,07","1,32","0,7","0,06","-0,48","23,1231","13,8175","3,9896","5,8773","21,0262","11,4865","10,9724","5,0194","4,688"
São Paulo (SP),maio 2013,"0,22","0,55","0,3","0,54","-0,49","0,89","0,17",0,"0,53","23,1957","13,7836","4,0054","5,8826","20,9296","11,5761","10,9903","4,9959","4,6408"
São Paulo (SP),junho 2013,"0,23","0,63","0,09","0,58","0,25","0,18","0,36","0,16","-0,15","23,1966","13,8305","4,0089","5,9015","20,7822","11,654","10,986","4,9851","4,6553"
São Paulo (SP),julho 2013,"-0,08","0,71","0,07","-0,68","-0,79","0,34","1,25","0,09","0,04","23,1833","13,8777","4,0008","5,9182","20,7728","11,6409","10,993","4,9785","4,6348"
São Paulo (SP),agosto 2013,"0,31","0,45","0,62","0,03","-0,29","0,58","0,62","0,42",0,"23,1501","13,9678","4,0011","5,8744","20,5963","11,6729","11,1238","4,98","4,6337"
São Paulo (SP),setembro 2013,"0,19","0,57","0,62","0,72","0,51","0,33","0,2","0,06","-0,05","23,1623","13,9941","4,0155","5,861","20,4844","11,7097","11,1633","4,9881","4,6216"
São Paulo (SP),outubro 2013,"1,38","0,44","0,93","1,77","0,21","0,53","0,47","0,18","0,04","23,1239","14,0243","4,026","5,8824","20,5148","11,7067","11,1454","4,9735","4,6028"
São Paulo (SP),novembro 2013,"0,82","0,45","-0,24","0,68","0,21","0,59","0,3","-0,03","0,41","23,2831","13,9888","4,0357","5,9453","20,4171","11,6876","11,1209","4,9484","4,5731"
São Paulo (SP),dezembro 2013,"0,68","0,74","1,8","0,74","1,85","0,43","0,91","0,02","0,74","23,3701","13,9891","4,0079","5,9592","20,3688","11,7044","11,1043","4,925","4,5712"
São Paulo (SP),janeiro 2014,"0,48","0,65","0,41","-0,23","0,03","0,64","1,95","0,5","0,07","23,31","13,9612","4,0421","5,9474","20,5514","11,6449","11,1007","4,88","4,5622"
São Paulo (SP),fevereiro 2014,"1,12","0,63","1,87","-0,28","0,47","0,86","0,6","6,11","0,05","23,2987","13,9773","4,0372","5,9025","20,449","11,6578","11,2574","4,8787","4,5415"
São Paulo (SP),março 2014,"2,06","0,22","-0,31","0,97","1,52","0,31","0,6","0,21","-1,09","23,3324","13,9297","4,0732","5,8294","20,3475","11,6454","11,2156","5,1268","4,4999"
São Paulo (SP),abril 2014,"0,86","0,7","-0,63","-0,26","0,13","1,15","0,5","-0,07","-0,07","23,5941","13,8316","4,0231","5,8319","20,467","11,5736","11,1789","5,0901","4,4097"
São Paulo (SP),maio 2014,"0,71","-1,66","1,66","1,16","-0,97","1,06","1,03","0,06","0,06","23,6857","13,8631","3,979","5,7897","20,399","11,6521","11,1823","5,0629","4,3862"
São Paulo (SP),junho 2014,"-0,18","0,84","0,47","0,25","0,14","0,66","1,34","0,09","-0,02","23,8256","13,6168","4,0402","5,8501","20,1778","11,762","11,2842","5,0597","4,3836"
São Paulo (SP),julho 2014,"0,26","2,02","1,32","-0,63","-0,69","0,48","0,27","-0,06","-2,67","23,6967","13,6812","4,0442","5,8434","20,132","11,7967","11,3936","5,0455","4,3667"
São Paulo (SP),agosto 2014,"-0,37","1,19","0,22","-0,38","0,23","0,29",0,"0,58","0,08","23,7139","13,9325","4,09","5,796","19,9566","11,8321","11,4035","5,0331","4,2423"
São Paulo (SP),setembro 2014,"1,02","0,38","0,4","1,02","0,75","0,29","0,8","0,19","-0,13","23,584","14,0734","4,0916","5,7638","19,9665","11,8453","11,3839","5,0533","4,2381"
São Paulo (SP),outubro 2014,"0,37","0,68","0,08","0,97","0,51","0,47","0,2","0,05","-0,06","23,6709","14,0356","4,0817","5,785","19,9863","11,8033","11,4013","5,0304","4,2054"
São Paulo (SP),novembro 2014,"0,86","0,45","0,14","0,39","0,26","0,53","0,67","0,16","0,1","23,6584","14,0718","4,0678","5,8168","20,0031","11,8094","11,376","5,0117","4,1851"
São Paulo (SP),dezembro 2014,"0,67","0,28","-0,71","0,88","1,38","0,49","0,57","0,12","0,02","23,7439","14,0652","4,0533","5,8104","19,9551","11,8127","11,3959","4,9949","4,1687"
São Paulo (SP),janeiro 2015,"1,49","3,21","-0,72","-1,64","2,89","0,49","1,56","0,19","0,02","23,7547","14,0165","3,9993","5,8249","20,1041","11,797","11,3901","4,9698","4,1435"
São Paulo (SP),fevereiro 2015,"0,47","1,69","1,62","-1,08","2,22","0,61","0,82","5,72","-0,12","23,751","14,2523","3,9116","5,6442","20,3777","11,6787","11,3965","4,9053","4,0827"
São Paulo (SP),março 2015,1,"5,59","0,51","1,23","0,29","0,64","0,35","1,02","-0,88","23,5684","14,3149","3,926","5,5144","20,574","11,6044","11,3484","5,1221","4,0275"
São Paulo (SP),abril 2015,"0,81","0,4","0,35","1,3","-0,06","1,27","0,7","0,44","0,08","23,4952","14,9184","3,8949","5,5096","20,3665","11,527","11,2407","5,1075","3,9401"
São Paulo (SP),maio 2015,"1,63","1,09","0,25","0,87","-0,7","0,84","1,11","0,02","0,11","23,5506","14,8926","3,8861","5,5495","20,2387","11,6063","11,2547","5,1008","3,9207"
São Paulo (SP),junho 2015,"0,65","1,05","1,35","0,53","0,52","0,98","1,43","0,1","0,35","23,7699","14,9521","3,869","5,5593","19,9599","11,624","11,3012","5,0666","3,898"
São Paulo (SP),julho 2015,"0,63","3,1","0,41","-0,57","0,12","0,81","0,53","-0,07","0,3","23,7363","14,9907","3,8904","5,5451","19,9059","11,6458","11,3729","5,032","3,881"
São Paulo (SP),agosto 2015,"0,17","0,33","0,4","0,64","-0,86","0,72","1,01","1,5","0,01","23,7003","15,3349","3,876","5,4707","19,7749","11,6481","11,3439","4,9891","3,8621"
São Paulo (SP),setembro 2015,"0,55","1,53","-0,21","0,92","1,05","0,62","0,12","0,26","0,06","23,6826","15,3483","3,882","5,4921","19,556","11,7035","11,431","5,0515","3,853"
São Paulo (SP),outubro 2015,"0,92","0,72","0,8","0,5","2,32","0,65","0,57","0,04","0,13","23,6434","15,4733","3,8464","5,5035","19,6205","11,693","11,3632","5,0288","3,828"
São Paulo (SP),novembro 2015,"1,29","0,79","0,06","1,23","1,21","0,56","0,31","0,19","0,84","23,6278","15,4324","3,839","5,4766","19,8783","11,653","11,3161","4,9815","3,7953"
São Paulo (SP),dezembro 2015,"1,18","0,25","0,44","0,71","1,28",1,"0,37","0,17","1,25","23,7237","15,4186","3,8079","5,4958","19,9441","11,6163","11,252","4,9476","3,794"
São Paulo (SP),janeiro 2016,"1,87","0,8","-0,25","-0,17","1,77",1,"0,59","0,19","0,04","23,8023","15,328","3,7927","5,4885","20,0309","11,6345","11,1992","4,9146","3,8094"
São Paulo (SP),fevereiro 2016,"0,47","-0,2","1,35","-0,07","0,73","1,06","0,97","5,76","0,79","23,9845","15,2825","3,7421","5,42","20,1645","11,6236","11,1426","4,8706","3,7697"
São Paulo (SP),março 2016,"1,38","-0,55","1,13","1,46","0,07","0,83","1,1","0,51","-1,39","23,9013","15,1287","3,7619","5,3723","20,1472","11,6516","11,1588","5,1095","3,7687"
São Paulo (SP),abril 2016,"0,77","-0,6","-0,23","0,32","-0,32","2,31","0,1","0,1","0,99","24,0928","14,9594","3,7825","5,4197","20,0466","11,681","11,2168","5,1062","3,6949"
São Paulo (SP),maio 2016,"0,58","3,58","0,74","1,22","-1,21","1,49","2,02","0,14","0,05","24,1903","14,8163","3,76","5,4174","19,9094","11,9078","11,1877","5,0929","3,7181"
São Paulo (SP),junho 2016,"1,32","0,54","0,25","-0,13","-0,59","0,82","0,1","0,19","0,03","24,1043","15,2045","3,7528","5,4328","19,4866","11,9732","11,3079","5,0526","3,6853"
São Paulo (SP),julho 2016,"1,35","-0,96","0,61","-0,86","0,22","0,55","0,54","0,09","0,03","24,3239","15,2248","3,747","5,4036","19,2925","12,0222","11,273","5,0416","3,6713"
São Paulo (SP),agosto 2016,"0,48","0,22","0,43","0,17","0,55","1,29","0,59","0,96","-0,05","24,5694","15,0283","3,7574","5,3395","19,2714","12,0479","11,2964","5,0294","3,6602"
São Paulo (SP),setembro 2016,"-0,04","0,26","-0,56","0,82","-0,27","0,35","0,03","0,01","0,25","24,5523","14,9793","3,7528","5,3195","19,2705","12,1364","11,3008","5,0502","3,6383"
São Paulo (SP),outubro 2016,"-0,37","0,15","-0,22","0,3","1,17","0,38","0,11","0,04","0,24","24,5296","15,0095","3,7295","5,36","19,2077","12,1722","11,2982","5,0479","3,6453"
São Paulo (SP),novembro 2016,"-0,42","0,56","-1,03","0,49","0,66","0,61","0,54","0,06","0,55","24,3809","14,997","3,7129","5,3638","19,3864","12,1905","11,2848","5,0384","3,6454"
São Paulo (SP),dezembro 2016,"0,21","-0,36","-0,36","-0,35","1,08","0,6","0,86",0,"0,06","24,2172","15,0421","3,6653","5,3764","19,4648","12,2329","11,3169","5,0284","3,6559"
São Paulo (SP),janeiro 2017,"-0,06","-0,13","-0,31","0,11","0,49","0,63","0,42","0,34","0,7","24,1832","14,9363","3,6393","5,3393","19,6064","12,2642","11,3747","5,011","3,6456"
São Paulo (SP),fevereiro 2017,"-0,22","0,37","0,45","0,06","-0,25","0,62","0,19","3,63","0,52","24,1144","14,8837","3,62","5,3331","19,6589","12,3134","11,397","5,0167","3,6628"
São Paulo (SP),março 2017,"0,46","1,06","-0,14","-0,06","-1,32","0,84","1,1","2,04","-0,56","23,9966","14,8984","3,6266","5,3218","19,5564","12,3559","11,3877","5,1848","3,6718"
São Paulo (SP),abril 2017,"0,9","-1,45","-0,29","1,02","-0,35","1,34","0,2","-0,01","-0,2","24,0308","15,0093","3,6102","5,302","19,2374","12,4204","11,4764","5,2738","3,6397"
São Paulo (SP),maio 2017,"-0,1","2,39","-0,28","1,38","-0,92","0,66","0,37","0,16","0,18","24,2097","14,7688","3,594","5,3478","19,1404","12,5668","11,4811","5,2648","3,6266"
São Paulo (SP),junho 2017,"-0,34","-1,18","0,11","-0,47","-0,74","0,49","0,35","0,11","0,2","24,0997","15,0682","3,5713","5,4021","18,8965","12,6051","11,483","5,2542","3,6201"
São Paulo (SP),julho 2017,"-0,6","2,17","-0,1","-0,22","0,74","0,24","0,49","-0,16","-0,01","24,0917","14,9353","3,5863","5,3934","18,8146","12,7061","11,5583","5,276","3,6383"
São Paulo (SP),agosto 2017,"-1,04","0,79","0,16","0,26","1,35","0,77","0,36","0,37","-0,4","23,8567","15,201","3,569","5,3612","18,8814","12,6885","11,5706","5,2476","3,6239"
São Paulo (SP),setembro 2017,"-0,2","-0,71","0,67","0,44","0,81","0,24","0,88","-0,03","0,31","23,5409","15,276","3,5643","5,3597","19,0808","12,7495","11,5784","5,2515","3,5989"
São Paulo (SP),outubro 2017,"0,06","1,42","-0,78","1,01","0,66","0,66","0,16","0,05","0,27","23,45","15,1386","3,5813","5,3733","19,1991","12,756","11,6582","5,24","3,6035"
São Paulo (SP),novembro 2017,"-0,18","1,64","-0,31","-0,24","1,41","0,4","0,7","0,01","-0,18","23,3484","15,277","3,5356","5,4007","19,2304","12,7771","11,6187","5,2167","3,5953"
São Paulo (SP),dezembro 2017,"0,85","-0,01","0,22","0,96","1,32","0,53","0,33","0,02","-0,11","23,172","15,4374","3,5043","5,3564","19,389","12,7534","11,6327","5,1869","3,568"
São Paulo (SP),janeiro 2018,"0,33","-0,89","0,17","-1,47","1,21","0,58","0,13","0,19","0,15","23,2267","15,3419","3,4905","5,3748","19,5251","12,7432","11,5992","5,1563","3,5424"
São Paulo (SP),fevereiro 2018,"-0,47","0,26","0,03","0,39","0,49","0,42","0,07","3,51","0,1","23,2553","15,1739","3,4892","5,2851","19,7204","12,7906","11,5898","5,1553","3,5404"
São Paulo (SP),março 2018,"0,59","0,1","-0,09","-0,1","-0,12","0,52","0,22","0,36","-0,38","23,0776","15,1684","3,4802","5,2901","19,7595","12,8065","11,5637","5,3206","3,5335"
São Paulo (SP),abril 2018,"-0,39","-0,24","0,2","1,01","0,12","1,11","-0,02","0,08","-0,06","23,1635","15,1507","3,4696","5,2731","19,6931","12,8453","11,5639","5,3282","3,5126"
São Paulo (SP),maio 2018,"0,51","0,35","-0,62","0,74","-0,28","0,37","0,11","0,03","-0,02","23,0511","15,0994","3,4731","5,3213","19,6963","12,9743","11,5506","5,3272","3,5069"
São Paulo (SP),junho 2018,"2,11","1,86","-0,03","-0,44","1,44","0,35","0,34","0,01","0,02","23,1234","15,1231","3,4448","5,3501","19,6025","12,9976","11,5407","5,3184","3,4994"
São Paulo (SP),julho 2018,"1,07","2,75","0,48","-1,06","-0,13","-0,07","0,29","-0,13","0,14","23,3512","15,2356","3,4057","5,268","19,6656","12,8995","11,4526","5,2601","3,4617"
São Paulo (SP),agosto 2018,"0,02","0,68","0,53","0,35","-1,03","0,68","0,51","0,53","0,03","23,4547","15,5571","3,4007","5,1799","19,5183","12,8105","11,4137","5,2204","3,4447"
São Paulo (SP),setembro 2018,"0,16","0,56","0,23","0,1","1,8","0,31","0,63","0,42","-0,19","23,4322","15,6446","3,4147","5,1917","19,2934","12,8818","11,4579","5,2421","3,4417"
São Paulo (SP),outubro 2018,"0,41","-0,09","1,11","0,56","1,02","0,17","0,33","0,02","0,05","23,3264","15,6364","3,4017","5,1655","19,521","12,8425","11,4603","5,2318","3,4143"
São Paulo (SP),novembro 2018,"0,03","-0,82","0,48","-0,47","-0,72","-0,5","0,32","0,01","-0,16","23,3268","15,5588","3,4255","5,173","19,6391","12,8122","11,4509","5,2116","3,402"
São Paulo (SP),dezembro 2018,"-0,01","0,01","0,78","0,83","-0,5","0,18","0,22","0,25","-0,03","23,404","15,4783","3,4523","5,1644","19,557","12,7869","11,5227","5,2277","3,4067"
São Paulo (SP),janeiro 2019,"0,81","0,23","0,37","-0,84","0,39","0,25","0,56","0,17","-0,02","23,3944","15,4747","3,478","5,2057","19,4537","12,8053","11,5443","5,2393","3,4046"
São Paulo (SP),fevereiro 2019,"0,61","0,33","0,14","-0,16","0,1","0,48","0,13","3,04",0,"23,4952","15,4529","3,4778","5,1427","19,4568","12,789","11,5658","5,2286","3,3913"
São Paulo (SP),março 2019,"1,3","0,19","0,74","0,72","1,65","0,38","-0,02","0,49","-0,2","23,5331","15,4357","3,4674","5,1115","19,3897","12,7936","11,5293","5,3635","3,3762"
São Paulo (SP),abril 2019,"0,71","0,01","-0,71","-0,15","0,57","1,5","0,3","0,21","0,03","23,6536","15,3458","3,466","5,1082","19,5561","12,742","11,437","5,3479","3,3434"
São Paulo (SP),maio 2019,"-0,27","1,36","-0,6","-0,5","-0,31","0,55","0,22","-0,12","0,02","23,7051","15,2736","3,4249","5,0758","19,5729","12,8704","11,4159","5,3331","3,3283"
São Paulo (SP),junho 2019,"-0,45","0,2","0,2","0,91","-0,56","0,59","0,08","0,2","-0,01","23,6117","15,461","3,4001","5,0441","19,4874","12,9244","11,4267","5,3199","3,3246"
São Paulo (SP),julho 2019,"-0,1","1,89","0,52","-0,63","-0,02","-0,16","0,24","-0,04","0,73","23,5138","15,4975","3,4081","5,092","19,3857","13,0058","11,4394","5,3324","3,3253"
São Paulo (SP),agosto 2019,"-0,1","1,29","1,15","0,96","-0,26","0,29","0,43","0,39","0,25","23,4256","15,7457","3,4164","5,0457","19,3273","12,9486","11,4349","5,3155","3,3402"
São Paulo (SP),setembro 2019,"-0,18","0,04","-1,06","-0,26","-0,17","0,43","-0,04","0,07","-0,02","23,3252","15,8961","3,4442","5,0771","19,2131","12,9426","11,4456","5,3186","3,3372"
São Paulo (SP),outubro 2019,"0,24","-0,96","0,04","0,9","0,69","0,4","0,09","0,01","-0,02","23,2982","15,9132","3,4101","5,0671","19,1921","13,0064","11,4487","5,3256","3,3386"
São Paulo (SP),novembro 2019,"1,05","1,11","-0,02","1,09","0,41","0,24","0,98","0,05","-0,03","23,3213","15,7371","3,4064","5,1055","19,2958","13,0401","11,4424","5,3184","3,3329"
São Paulo (SP),dezembro 2019,"2,82","-0,77","-0,85","-0,82","1,58","0,41","0,68","0,32","0,41","23,4027","15,8019","3,382","5,1253","19,2403","12,9804","11,4745","5,284","3,3088"
Curitiba (PR),janeiro 2012,"0,75","0,87","-1,16","0,39","0,02","0,05","0,6","0,14","0,26","22,2488","15,4766","4,6515","7,4251","22,1729","11,1494","9,2415","3,1819","4,4521"
Curitiba (PR),fevereiro 2012,"0,16","0,6","-1,55","0,41","-0,83","0,87","0,92","6,08","-0,14","22,3358","15,5553","4,5813","7,4274","22,0979","11,1153","9,264","3,1752","4,4479"
Curitiba (PR),março 2012,"0,05","0,79","0,36","-1,25","0,19","-0,06","0,88","0,26","-0,15","22,3104","15,6056","4,4981","7,4379","21,854","11,1819","9,3236","3,359","4,4295"
Curitiba (PR),abril 2012,"0,14","1,92","-0,57","1,21","0,12","0,77","2,46","-0,42","0,05","22,2817","15,7011","4,5063","7,3324","21,8577","11,1552","9,3889","3,3617","4,415"
Curitiba (PR),maio 2012,"0,82","0,42","0,47",1,"-0,54","1,25","1,04","-0,48","0,01","22,1519","15,8877","4,4483","7,3679","21,7253","11,1601","9,5501","3,3233","4,3853"
Curitiba (PR),junho 2012,"1,07","0,22","0,99","0,05","-1,39","0,01","0,31","0,03","0,09","22,2342","15,8836","4,4491","7,4085","21,511","11,2488","9,6059","3,2927","4,3662"
Curitiba (PR),julho 2012,"1,02","-0,04","0,45","0,06",0,"0,48","0,33","0,28","0,4","22,4583","15,9101","4,4906","7,4077","21,2005","11,2435","9,6298","3,2917","4,3678"
Curitiba (PR),agosto 2012,"1,3","0,33","0,53","-0,18","0,12","1,02","0,71","0,51","-0,07","22,6065","15,8469","4,4945","7,3852","21,125","11,257","9,6267","3,289","4,3692"
Curitiba (PR),setembro 2012,"0,9","0,31","0,28","1,44","-0,72","0,28","0,24","0,11","0,13","22,7678","15,8078","4,4924","7,3295","21,0285","11,3062","9,6397","3,2869","4,3411"
Curitiba (PR),outubro 2012,"0,99","0,29","-0,24","1,48","-0,37","0,31","0,57","-0,07","0,29","22,9068","15,8121","4,4923","7,4139","20,8186","11,3053","9,6354","3,2811","4,3345"
Curitiba (PR),novembro 2012,"0,7","0,4","0,64","1,05","3,39","-0,08","1,2","0,05","0,19","23,0427","15,7955","4,464","7,4945","20,6592","11,2956","9,6526","3,266","4,3299"
Curitiba (PR),dezembro 2012,"1,03","0,4","-0,05","2,13","0,4","0,54","1,87","0,1","-0,15","22,9399","15,6788","4,4416","7,4876","21,1164","11,1581","9,6578","3,2307","4,2891"
Curitiba (PR),janeiro 2013,"1,11","-0,25","2,08","0,28","0,35","0,71","1,91","0,2","-0,02","22,9979","15,62","4,4051","7,5879","21,0374","11,1312","9,7621","3,2088","4,2496"
Curitiba (PR),fevereiro 2013,"1,16","-2,48","1,1","1,17","0,55","0,66","0,76","5,58","0,16","23,0981","15,4765","4,4665","7,5584","20,9689","11,1353","9,8823","3,1937","4,2204"
Curitiba (PR),março 2013,"0,61","0,62","0,38","0,41","0,43","-0,04","-0,71","0,71","0,32","23,2576","15,0224","4,4946","7,6108","20,9846","11,156","9,9109","3,3559","4,2072"
Curitiba (PR),abril 2013,"1,17","1,07","1,65","0,75","-0,6","1,64","0,09","0,03","-0,12","23,3221","15,0643","4,4966","7,6164","21,0042","11,1146","9,8072","3,3684","4,2063"
Curitiba (PR),maio 2013,"-0,07","0,47","0,58","1,2","-0,28","1,17","0,57",0,"0,09","23,4486","15,1306","4,5423","7,6256","20,7487","11,2262","9,7543","3,3485","4,1751"
Curitiba (PR),junho 2013,"0,69","0,47","0,04","0,2","-1,69","0,58","0,18","-0,06","0,15","23,3606","15,1557","4,5548","7,6936","20,6274","11,3232","9,7803","3,3383","4,1661"
Curitiba (PR),julho 2013,"0,15","1,15","0,89","0,65","-0,18","0,62","1,39","0,16","-0,05","23,5237","15,2296","4,557","7,7098","20,2806","11,3904","9,7993","3,3367","4,1728"
Curitiba (PR),agosto 2013,"0,24","0,68","1,54","0,1","0,68","0,11","0,2","0,66","-0,19","23,4477","15,3322","4,5756","7,7235","20,1479","11,4072","9,8886","3,3263","4,151"
Curitiba (PR),setembro 2013,"0,03","0,36","0,7","0,08","-0,21","0,74","0,8","0,37","-0,05","23,4057","15,371","4,6265","7,6984","20,2003","11,3714","9,8668","3,3343","4,1256"
Curitiba (PR),outubro 2013,"0,98","0,66","1,05","-0,07","0,98","-0,04","0,57","0,05","0,23","23,3592","15,3897","4,6481","7,6866","20,1118","11,4292","9,9228","3,3388","4,1138"
Curitiba (PR),novembro 2013,"-0,04","0,3","1,12","1,15","1,71","0,08","-0,54","0,15","0,32","23,4394","15,3929","4,6673","7,6331","20,1817","11,3526","9,9161","3,3194","4,0973"
Curitiba (PR),dezembro 2013,"0,51","0,35","0,37","0,63","1,83","0,68","1,52","0,04","0,58","23,3142","15,3634","4,6962","7,6826","20,4263","11,3054","9,8138","3,3079","4,0901"
Curitiba (PR),janeiro 2014,"1,17","0,67","1,18","-0,29","-0,02","0,73","2,93","0,15","-0,14","23,2315","15,2853","4,6733","7,665","20,6228","11,2845","9,8779","3,281","4,0787"
Curitiba (PR),fevereiro 2014,"0,49","0,92","1,35","-1,1","-0,33","0,27","-0,06","6,04","-0,32","23,3224","15,269","4,6923","7,5838","20,4607","11,2797","10,0896","3,2608","4,0418"
Curitiba (PR),março 2014,"2,56","0,59","0,28","0,47","1,34","0,35","-0,12","0,51","-1,42","23,3492","15,352","4,7381","7,4721","20,3164","11,2677","10,0456","3,4447","4,0141"
Curitiba (PR),abril 2014,"1,84",1,"0,07","0,87","0,27","1,33","0,06","0,35","0,02","23,7112","15,2899","4,7045","7,4333","20,3852","11,1954","9,9343","3,4281","3,9181"
Curitiba (PR),maio 2014,"0,41","0,7","0,69","0,09","-0,4","1,28","1,46","0,19","0,13","23,9372","15,3081","4,6669","7,4329","20,2613","11,245","9,8537","3,4099","3,8849"
Curitiba (PR),junho 2014,"-0,07","0,11","-0,4","0,1","0,07","0,59","2,95","0,13","-0,01","23,9254","15,3448","4,6772","7,405","20,0871","11,3361","9,9519","3,4006","3,872"
Curitiba (PR),julho 2014,"0,17","4,52","1,05","0,24","-1,9","0,59","0,19","-0,18","0,01","23,8213","15,3057","4,6414","7,3849","20,0279","11,3612","10,2077","3,3925","3,8574"
Curitiba (PR),agosto 2014,"-0,78","0,39","-0,3","-0,32","1,27","0,45","-0,83","0,55","0,13","23,7426","15,9186","4,6669","7,3657","19,55","11,3714","10,1765","3,3697","3,8386"
Curitiba (PR),setembro 2014,"0,69","0,75","0,22","0,74","0,23","0,67","-0,12","0,49","0,31","23,5394","15,9682","4,6492","7,3363","19,7827","11,4137","10,0843","3,3856","3,8407"
Curitiba (PR),outubro 2014,"0,6","0,37","-0,17","0,2","-0,07","0,27","0,51","0,12","-0,07","23,5878","16,011","4,6369","7,3547","19,7317","11,4342","10,0238","3,3856","3,8342"
Curitiba (PR),novembro 2014,"0,69","0,46","-0,46","0,59","0,42","0,34","0,41","0,24","0,08","23,6634","16,0264","4,6163","7,3489","19,6632","11,4338","10,0468","3,3805","3,8209"
Curitiba (PR),dezembro 2014,"0,84","0,45","0,7","0,44","1,9","0,55","0,7","-0,03","-0,11","23,724","16,0311","4,5754","7,3604","19,6605","11,4234","10,0439","3,374","3,8074"
Curitiba (PR),janeiro 2015,"1,56","1,92","-0,27","0,56","0,59","0,05","0,98","0,23","0,36","23,7242","15,9701","4,5692","7,3312","19,8679","11,3912","10,0297","3,3449","3,7715"
Curitiba (PR),fevereiro 2015,"0,71","0,57","1,18","-0,32","3,83","0,78","0,38","6,13","0,14","23,8684","16,124","4,5142","7,3025","19,797","11,2902","10,0332","3,3211","3,7494"
Curitiba (PR),março 2015,"1,75","7,44","-0,03","0,7","-0,28","0,68","0,35","0,45","-1,06","23,709","15,9941","4,5053","7,1801","20,2753","11,2225","9,9337","3,4767","3,7034"
Curitiba (PR),abril 2015,"2,34","2,51","1,18","1,42","-0,43","3,14","0,41","0,17","0,6","23,7249","16,8997","4,4291","7,1104","19,8831","11,1117","9,8034","3,4344","3,6033"
Curitiba (PR),maio 2015,"0,74","0,44","0,84","1,38","0,19","1,97","1,11","-0,07","0,2","23,9304","17,073","4,4166","7,1077","19,5116","11,2954","9,7019","3,3907","3,5727"
Curitiba (PR),junho 2015,"0,47","1,58","1,22","-0,06","0,66","0,7","2,58","0,3","0,32","23,9267","17,0193","4,4202","7,1513","19,4004","11,4313","9,7353","3,3628","3,5528"
Curitiba (PR),julho 2015,"1,25","3,44","0,62","0,4","-0,57","-0,06","0,52","-0,04","0,32","23,8226","17,1315","4,4336","7,0825","19,3524","11,4069","9,8963","3,3424","3,5318"
Curitiba (PR),agosto 2015,"0,33","0,52","0,81","0,24","0,55","0,3","0,68","0,93","0,21","23,9088","17,565","4,4216","7,0479","19,0729","11,3001","9,86","3,3117","3,512"
Curitiba (PR),setembro 2015,"-0,07","1,61","0,56","0,42","0,88","0,28","0,03","0,43","0,03","23,8771","17,5739","4,4367","7,0316","19,0887","11,2817","9,8807","3,3268","3,5028"
Curitiba (PR),outubro 2015,"0,48","0,16","-0,03","0,99","1,55","0,47","0,55","0,31","0,49","23,7331","17,7605","4,4375","7,0232","19,1539","11,2523","9,8311","3,3233","3,4852"
Curitiba (PR),novembro 2015,"1,55","0,41","0,69","0,39","1,54","1,09","1,16","0,34","1,13","23,6947","17,6754","4,408","7,0477","19,3266","11,2332","9,8223","3,3122","3,48"
Curitiba (PR),dezembro 2015,"1,96","0,71","1,03","1,58","1,35","0,29","0,83","0,44","0,15","23,8045","17,5578","4,3907","6,9995","19,4142","11,2338","9,83","3,2879","3,4816"
Curitiba (PR),janeiro 2016,"1,74","0,36","0,01","0,5","0,2","0,61","0,95","0,33","-0,06","23,9964","17,4826","4,386","7,0299","19,4535","11,1396","9,7994","3,265","3,4476"
Curitiba (PR),fevereiro 2016,"0,96","-0,54","0,71","0,57","1,13","0,75","0,81","6,79","0,43","24,2379","17,4198","4,3548","7,0139","19,3523","11,127","9,8216","3,252","3,4206"
Curitiba (PR),março 2016,"1,61","-0,67","1,34","0,04","0,51","0,81","0,72","0,51","-1,38","24,2712","17,183","4,35","6,9958","19,41","11,1185","9,82","3,4443","3,4073"
Curitiba (PR),abril 2016,"0,55","0,43","-0,25","0,42","0,94","2,35","0,18","0,11","1,59","24,5232","16,9719","4,3835","6,9591","19,3982","11,1459","9,8347","3,4422","3,3412"
Curitiba (PR),maio 2016,"0,97","0,4","-0,2","1,62","-0,58",2,"1,04","0,15","0,12","24,4763","16,9184","4,34","6,9364","19,4362","11,3235","9,7795","3,4205","3,3692"
Curitiba (PR),junho 2016,"1,12","-0,36","-0,55","-0,41","-0,92","0,56","0,36","0,11","0,09","24,5574","16,8796","4,3041","7,0045","19,202","11,4774","9,8191","3,4041","3,3518"
Curitiba (PR),julho 2016,"1,32","-2,38","0,46","0,22","0,13","0,48","0,63","-0,05","0,07","24,8106","16,8036","4,2763","6,9693","19,0073","11,5311","9,8451","3,4048","3,3519"
Curitiba (PR),agosto 2016,"0,53","0,24","-0,92","0,58","-0,17","0,08","0,44","1,38","0,05","25,1115","16,3859","4,2914","6,9772","19,0125","11,5744","9,8966","3,3996","3,3509"
